ID;MARCA;Categoria;ESTUCHE;VARIANTE;TAMAÑO (ML);PROVEEDOR; PRECIO COSTO ; PRECIO MAYORISTA ; PRECIO MINORISTA ;FECHA PRECIO;ACUERDO % OFF;Stock;
095;BOLS;LICOR;BOTELLA;APRICOT BRANDY;700;DBA; 19.812 ; 22.013 ; 22.783 ;13-abr;10;true;
096;BOLS;LICOR;BOTELLA;CASSIS;700;DBA; 19.812 ; 22.013 ; 22.783 ;13-abr;10;true;
097;BOLS;LICOR;BOTELLA;CHERRY BRANDY;700;DBA; 19.812 ; 22.013 ; 22.783 ;13-abr;10;true;
098;BOLS;LICOR;BOTELLA;ELDERFLOWER;700;DBA; 19.812 ; 22.013 ; 22.783 ;13-abr;10;true;
099;BOLS;LICOR;BOTELLA;GINGER;700;DBA; 19.812 ; 22.013 ; 22.783 ;13-abr;10;false;
100;BOLS;LICOR;BOTELLA;LYCHEE;700;DBA; 19.812 ; 22.013 ; 22.783 ;13-abr;10;true;
101;BOLS;LICOR;BOTELLA;MARRASCHINO;700;DBA; 19.812 ; 22.013 ; 22.783 ;13-abr;10;true;
102;BOLS;LICOR;BOTELLA;PARFAIT AMOUR;700;DBA; 19.812 ; 22.013 ; 22.783 ;13-abr;10;true;
103;BOLS;LICOR;BOTELLA;SOUR APPLE;700;DBA; 19.812 ; 22.013 ; 22.783 ;13-abr;10;true;
104;BOLS;LICOR;BOTELLA;TRIPLE SEC;700;DBA; 21.881 ; 24.312 ; 25.163 ;13-abr;10;true;
105;COINTREAU;LICOR;BOTELLA;TRIPLE SEC;700;DBA; 47.600 ; 52.889 ; 54.740 ;13-abr;10;true;
106;CUSEINER;LICOR;BOTELLA;MELON;700;DBA; 6.613 ; 7.348 ; 7.605 ;13-abr;10;true;
107;CUSEINER;LICOR;BOTELLA;FRUTILLA;700;DBA; 6.613 ; 7.348 ; 7.605 ;13-abr;10;true;
108;CUSEINER;LICOR;BOTELLA;CHOCOLATE;700;DBA; 6.613 ; 7.348 ; 7.605 ;13-abr;10;true;
109;CUSEINER;LICOR;BOTELLA;TRIPLE SEC;700;DBA; 5.604 ; 6.227 ; 6.445 ;13-abr;10;true;
110;CUSEINER;LICOR;BOTELLA;GRANADINA;750;DBA; 5.198 ; 5.775 ; 5.977 ;13-abr;10;true;
111;AMERICAN CLUB;LICOR;BOTELLA;PIÑA COLADA;750;DBA; 6.895 ; 7.661 ; 7.929 ;13-abr;10;true;
112;MALIBU;RON;BOTELLA;DE COCO;750;DBA; 12.554 ; 13.949 ; 14.437 ;13-abr;10;true;
113;APPLETON;RON;BOTELLA;RESERVE;750;DBA; 70.178 ; 77.976 ; 80.705 ;13-abr;10;true;
114;APPLETON;RON;BOTELLA;SIGNATURE;750;DBA; 35.031 ; 38.923 ; 40.285 ;13-abr;10;true;
115;BACARDI;RON;BOTELLA;ORO;700;DBA; 15.702 ; 17.447 ; 18.058 ;13-abr;10;true;
116;BACARDI;RON;BOTELLA;ORO;980;DBA; 18.687 ; 20.763 ; 21.490 ;13-abr;10;true;
117;BACARDI;RON;BOTELLA;BLANCO;700;DBA; 15.729 ; 17.477 ; 18.089 ;13-abr;10;true;
118;BACARDI;RON;BOTELLA;BLANCO;980;DBA; 18.687 ; 20.763 ; 21.490 ;13-abr;10;true;
119;HAVANA;RON;BOTELLA;3 AÑOS;750;DBA; 13.984 ; 15.538 ; 16.082 ;13-abr;10;true;
120;HAVANA;RON;BOTELLA;ESPECIAL DORADO;750;DBA; 14.928 ; 16.587 ; 17.168 ;13-abr;10;true;
121;HAVANA;RON;BOTELLA;7 AÑOS;700;DBA; 31.616 ; 35.129 ; 36.359 ;13-abr;10;true;
122;HAVANA;RON;BOTELLA;SELECCIÓN DE MAESTROS;700;DBA; 115.423 ; 128.248 ; 132.737 ;13-abr;10;true;
123;COCOBONGO;RON;BOTELLA;COCO;750;DBA; 8.046 ; 8.940 ; 9.253 ;13-abr;10;true;
124;VELHO BARREIRO;CACHACA;BOTELLA;ORIGINAL;910;DBA; 7.644 ; 8.493 ; 8.790 ;13-abr;10;true;
125;BLUE MOON;CERVEZA;LATA;GOLDEN;355;DBA; 2.254 ; 2.504 ; 2.592 ;13-abr;10;true;
126;CORONA;CERVEZA;PORRON;GOLDEN;330;DBA; 2.472 ; 2.747 ; 2.843 ;13-abr;10;true;
127;CORONA;CERVEZA;PORRON;SIN ALCOHOL;330;DBA; 1.644 ; 1.827 ; 1.891 ;13-abr;10;true;
128;CORONA;CERVEZA;LATA;GOLDEN;410;DBA; 1.941 ; 2.157 ; 2.232 ;13-abr;10;true;
129;CORONA;CERVEZA;BOTELLA;GOLDEN;710;DBA; 4.094 ; 4.549 ; 4.708 ;13-abr;10;true;
130;MILLER;CERVEZA;PORRON;GOLDEN;330;DBA; 1.486 ; 1.651 ; 1.709 ;13-abr;10;true;
131;GUTEN BIER;CERVEZA;PORRON;KOLSCH (GOLDEN);330;GUTEN BIER; 1.210 ; 1.392 ; 1.573 ;14-abr;0;true;
132;GUTEN BIER;CERVEZA;PORRON;IRISH RED ALE;330;GUTEN BIER; 1.210 ; 1.392 ; 1.573 ;14-abr;0;true;
133;GUTEN BIER;CERVEZA;PORRON;HONEY;330;GUTEN BIER; 1.450 ; 1.668 ; 1.885 ;14-abr;0;true;
134;GUTEN BIER;CERVEZA;PORRON;IRISH STOUT;330;GUTEN BIER; 1.450 ; 1.668 ; 1.885 ;14-abr;0;true;
135;GUTEN BIER;CERVEZA;PORRON;LAGER;330;GUTEN BIER; 1.210 ; 1.392 ; 1.573 ;14-abr;0;true;
136;GUTEN BIER;CERVEZA;BOTELLA;LAGER;990;GUTEN BIER; 3.050 ; 3.508 ; 3.965 ;14-abr;0;true;
137;GUTEN BIER;CERVEZA;PORRON;IPA;330;GUTEN BIER; 1.490 ; 1.714 ; 1.937 ;14-abr;0;true;
138;GUTEN BIER;CERVEZA;PORRON;AAA;330;GUTEN BIER; 1.490 ; 1.714 ; 1.937 ;14-abr;0;true;
139;GUTEN BIER;CERVEZA;PORRON;RED IPA;330;GUTEN BIER; 1.490 ; 1.714 ; 1.937 ;14-abr;0;true;
140;GUTEN BIER;CERVEZA;PORRON;OLD ALE;330;GUTEN BIER; 1.490 ; 1.714 ; 1.937 ;14-abr;0;true;
141;GUTEN BIER;CERVEZA;PORRON;SIN ALCOHOL;330;GUTEN BIER; 1.450 ; 1.668 ; 1.885 ;14-abr;0;true;
142;MONSTER;ENERGIZANTE;LATA;ORIGINAL;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
143;MONSTER;ENERGIZANTE;LATA;GREEN ZERO;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
144;MONSTER;ENERGIZANTE;LATA;MANGO LOCO;473;DBA; 2.705 ; 3.005 ; 3.110 ;13-abr;10;true;
